simbolo,nombre,precio,cambio,porcentaje
SLNO,"Soleno Therapeutics, Inc.",52.25,+12.76,+32.31%
CAR,"Avis Budget Group, Inc.",212.60,+22.18,+11.65%
BOOT,"Boot Barn Holdings, Inc.",149.03,+13.87,+10.26%
KTOS,"Kratos Defense & Security Solutions, Inc.",74.09,+6.78,+10.07%
AMPX,"Amprius Technologies, Inc.",17.56,+1.56,+9.75%
VG,"Venture Global, Inc.",15.94,+1.30,+8.88%
ALM,Almonty Industries Inc.,16.63,+1.27,+8.27%
WING,Wingstop Inc.,164.83,+12.32,+8.08%
EHC,Encompass Health Corporation,105.15,+7.76,+7.97%
SEZL,Sezzle Inc.,68.81,+5.05,+7.92%
BLLN,"BillionToOne, Inc.",85.50,+6.14,+7.74%
DIOD,Diodes Incorporated,73.62,+5.04,+7.35%
BETA,"Beta Technologies, Inc.",16.53,+1.10,+7.13%
OSCR,"Oscar Health, Inc.",12.76,+0.84,+7.05%
TSAT,Telesat Corporation,42.90,+2.79,+6.96%
MDA,MDA Space Ltd.,29.09,+1.88,+6.91%
APP,AppLovin Corporation,412.68,+26.31,+6.81%
MSTR,Strategy Inc,127.69,+7.86,+6.56%
BW,"Babcock & Wilcox Enterprises, Inc.",16.75,+1.03,+6.55%
CROX,"Crocs, Inc.",89.01,+5.35,+6.39%
HIMS,"Hims & Hers Health, Inc.",20.33,+1.19,+6.22%
CELH,"Celsius Holdings, Inc.",36.13,+2.05,+6.02%
BMNR,"Bitmine Immersion Technologies, Inc.",20.60,+1.15,+5.91%
CACC,Credit Acceptance Corporation,441.09,+24.58,+5.90%
NEXT,NextDecade Corporation,8.31,+0.46,+5.86%
